SiteID,AltNum,Description
1266,Nekhet-ka,Hassan No.
1266,136,Abou-Ghazi No (ASAE 58 [1964])
1267,Rakhaefankh,Other No
1268,Ra'-khew-f,Hassan No.
1268,Khew-F-Ra,Other No
1268,Rakhuf,Hassan No.
1268,137,Abou-Ghazi No (ASAE 58 [1964])
1271,LG 59,Lepsius No
1271,L.59,Lepsius No
1271,Lepsius 59,Lepsius No
1290,50,Abou-Ghazi No (ASAE 58 [1964])
1290,Nisankhakhti Ithi,Hassan No.
1290,Ni-se-'ankh-akhty,Hassan No.
1291,Lepsius 60,Lepsius No
1291,L.60,Lepsius No
1291,LG 60,Lepsius No
1293,G 7762a,Alternate Reisner No
1306,159,Abou-Ghazi No (ASAE 58 [1964])
1306,Nest-temaa't,Hassan No.
1306,Nest-tjemat,Hassan No.
1307,Nisutpunetjer,Other No
1307,Netjerpunisut,Other No
1308,Neuserre,Hassan No.
1308,Ny-weser-Ra',Hassan No.
1308,72,Abou-Ghazi No (ASAE 58 [1964])
1309,134,Abou-Ghazi No (ASAE 58 [1964])
1309,Prince Nj... R',Hassan No.
1309,Ni...etre,Hassan No.
1312,Niankh-khnum,Hassan No.
1312,Ny-ankh-Khenmw,Hassan No.
1312,101,Abou-Ghazi No (ASAE 58 [1964])
1313,71,Abou-Ghazi No (ASAE 58 [1964])
1313,Ny-'ankh-Ra',Hassan No.
1313,Niankhre,Hassan No.
1315,Nikauhathor,Hassan No.
1315,Ny-kaw-Hathor,Hassan No.
1315,102,Abou-Ghazi No (ASAE 58 [1964])
1316,Nichet,Junker No
1317,Nimaatre,Junker No
1319,Ni-maat-Re',Hassan No.
1319,Nimaatre & Neferesris,Hassan No.
1319,22,Abou-Ghazi No (ASAE 58 [1964])
1329,Temple of Osiris,Other No
1329,Rock Cut Tomb,Hassan No.
1329,Pedubaste,Other No
1330,Pery-neb,Hassan No.
1330,Perneb,Hassan No.
1330,47,Abou-Ghazi No (ASAE 58 [1964])
1332,Rock Cut Tomb,Hassan No.
1332,Ptahardais,Other No
1334,Fefi Ptahsezefa,Hassan No.
1334,Ptahsedjefa Fefi,Hassan No.
1334,7,Abou-Ghazi No (ASAE 58 [1964])
1336,S 4070,Junker No
1337,S 2116/2119,Junker No
1338,140,Abou-Ghazi No (ASAE 58 [1964])
1338,Rahetep,Hassan No.
1338,Prince Hetep-Ra,Hassan No.
1340,G 2348,Alternate Reisner No
1341,G 2343,Alternate Reisner No
1341,Tjetu,Alternate Reisner No
1342,G 2348 A,Alternate Reisner No
1343,G 2342,Alternate Reisner No
1343,LG 28,Lepsius No
1343,Lepsius 28,Lepsius No
1343,L.28,Lepsius No
1344,G 2344,Alternate Reisner No
1345,G 2342,Alternate Reisner No
1346,G 2345,Alternate Reisner No
1347,G 2346,Alternate Reisner No
1347,G 5525,Alternate Reisner No
1348,G 2349,Alternate Reisner No
1349,G 2358,Alternate Reisner No
1349,G 2341,Alternate Reisner No
1349,G 5543,Alternate Reisner No
1350,G 2358,Alternate Reisner No
1351,G 2358,Alternate Reisner No
1353,G 2347,Alternate Reisner No
1354,G 2359,Alternate Reisner No
1355,G 2359,Alternate Reisner No
1356,G 2357,Alternate Reisner No
1357,G 2357,Alternate Reisner No
1358,LG 35,Lepsius No
1358,L.35,Lepsius No
