ID,SiteID,SiteName,SiteNumber,ClassificationID
20489,1176,Eastern Cemetery,G 7550,34
20490,541,Western Cemetery,G 5210,34
20491,1176,Eastern Cemetery,G 7550,34
20492,1173,Eastern Cemetery,G 7524,34
20493,532,Western Cemetery,G 5110,92
20494,1287,Eastern Cemetery,G 7757,53
20495,1292,Eastern Cemetery,G 7761,35
20496,532,Western Cemetery,G 5110,92
20497,1284,Eastern Cemetery,G 7753,79
20498,1284,Eastern Cemetery,G 7753,95
20499,1271,Eastern Cemetery,G 7660,58
20500,532,Western Cemetery,G 5110,64
20501,1271,Eastern Cemetery,G 7660,58
20502,1269,Eastern Cemetery,G 7650,58
20503,1269,Eastern Cemetery,G 7650,58
20504,1269,Eastern Cemetery,G 7650,58
20505,1269,Eastern Cemetery,G 7650,58
20506,532,Western Cemetery,G 5110,24
20507,1269,Eastern Cemetery,G 7650,58
20508,1269,Eastern Cemetery,G 7650,58
20509,1269,Eastern Cemetery,G 7650,58
20510,1287,Eastern Cemetery,G 7757,95
20511,1270,Eastern Cemetery,G 7652,86
20512,1287,Eastern Cemetery,G 7757,79
20513,1292,Eastern Cemetery,G 7761,35
20514,1292,Eastern Cemetery,G 7761,35
20515,1292,Eastern Cemetery,G 7761,35
20516,1292,Eastern Cemetery,G 7761,35
20517,1270,Eastern Cemetery,G 7652,79
20518,1292,Eastern Cemetery,G 7761,101
20519,1270,Eastern Cemetery,G 7652,86
20520,532,Western Cemetery,G 5110,18
20520,542,Western Cemetery,G 5211,18
20521,1287,Eastern Cemetery,G 7757,97
20522,1270,Eastern Cemetery,G 7652,83
