ID,MediaMasterID,ClassificationID
962,6137,1
963,376,1
964,1498,1
965,4733,1
966,4826,1
967,4885,1
968,2454,1
969,4743,1
970,4454,1
971,4426,1
972,4781,1
973,5697,1
974,2534,1
975,4980,1
976,5085,1
977,548,1
978,6148,1
979,4945,1
980,5721,1
981,414,1
982,5788,1
983,426,1
984,4906,1
985,340,1
986,5713,1
987,538,1
988,4795,1
989,6095,1
990,4768,1
991,4718,1
992,4754,1
993,4398,1
994,5659,1
995,6062,1
996,6050,1
997,4877,1
998,5757,1
999,5078,1
1000,5675,1
1001,4746,1
1002,1716,1
1003,5628,1
1004,5614,1
1005,4473,1
1006,5551,1
1007,335,1
1008,4758,1
1009,6089,1
1010,656,1
1011,4854,1
1012,411,1
1013,382,1
1014,4399,1
1015,5624,1
1016,4396,1
1017,6130,1
1018,4811,1
1018,4817,1
1019,4710,1
1020,5019,1
1021,486,1
1022,4920,1
1023,4391,1
1024,706,1
1025,6092,1
1026,2300,1
1027,5560,1
1028,5685,1
1029,4776,1
1030,4931,1
1031,5807,1
1032,1625,1
1033,4780,1
1034,6190,1
1035,2470,1
1036,2443,1
1037,6047,1
1038,6156,1
1039,6183,1
1040,1534,1
1041,5734,1
1042,421,1
1043,450,1
1044,4965,1
1045,4883,1
1046,6132,1
1047,468,1
1048,1043,1
1049,107,1
1050,3032,1
1051,4618,1
1052,5977,1
1053,5371,1
1054,5414,1
1055,4506,1
1056,4555,1
1057,4527,1
1058,5171,1
1059,4319,1
1060,5468,1
1061,4535,1
