SiteID,EventType,DateText
1264,PorterMoss Date,Dynasty 5-6
1265,PorterMoss Date,Dynasty 5
1266,PorterMoss Date,Middle of Dynasty 5 or later
1266,Baer Date,Mid Dynasty 5 or later.
1266,Harpur Date,Niuserre - Unis ?
1266,Kanawati Date,Second half of Dynasty 5
1267,PorterMoss Date,Dynasty 5-6
1268,PorterMoss Date,Dynasty 5 or later
1269,Baer Date,Khafre
1269,PorterMoss Date,Khufu to Khafre
1270,PorterMoss Date,Late Dynasty 5 and Ptolemaic
1271,PorterMoss Date,Late Dynasty 4
1271,Baer Date,Dynasty 4 or so
1272,Reisner Date,Dynasty 5-6
1273,Reisner Date,Dynasty 5-6
1280,PorterMoss Date,Dynasty 6
1282,PorterMoss Date,Dynasty 5
