ID,UnpublishedID,ObjectNumber,UnpublishedTitle,ClassificationID,ObjectDate,ThumbPathName,ThumbFileName,ArchIDNum
5956,40112,HUMFA_24-11-736,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 521",89,11/21/1924,https://nrs.harvard.edu,urn-3:FHCL:39687570?width=170&height=170,465953828
5956,40663,HUMFA_24-11-736,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 521 (alternate version)",89,11/21/1924,https://nrs.harvard.edu,urn-3:FHCL:39688580?width=170&height=170,465954341
5958,40075,HUMFA_24-11-737,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 519 (alternate version)",38,11/21/1924,https://nrs.harvard.edu,urn-3:FHCL:39688569?width=170&height=170,465954335
5958,40110,HUMFA_24-11-737,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 519",38,11/21/1924,https://nrs.harvard.edu,urn-3:FHCL:39687558?width=170&height=170,465953822
5959,41954,HUMFA_24-11-143,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 507 (alternate version)",38,11/06/1924,https://nrs.harvard.edu,urn-3:FHCL:39688497?width=170&height=170,465954299
5959,42017,HUMFA_24-11-143,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 507",38,11/06/1924,https://nrs.harvard.edu,urn-3:FHCL:39687487?width=170&height=170,465953786
5960,40473,HUMFA_24-11-144,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 531 (alternate version)",38,11/06/1924,https://nrs.harvard.edu,urn-3:FHCL:39688640?width=170&height=170,465954371
5960,40729,HUMFA_24-11-144,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 531",38,11/06/1924,https://nrs.harvard.edu,urn-3:FHCL:39687629?width=170&height=170,465953858
5961,40468,HUMFA_24-11-738,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 526 (alternate version)",38,11/21/1924,https://nrs.harvard.edu,urn-3:FHCL:39688610?width=170&height=170,465954356
5961,40724,HUMFA_24-11-738,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 526",38,11/21/1924,https://nrs.harvard.edu,urn-3:FHCL:39687599?width=170&height=170,465953843
